-1.48,4.194
-1.48,3.834
-1.492,3.474
-1.504,3.114
-1.504,2.754
-1.528,2.394
-1.504,2.034
-1.42,1.674
-1.276,1.326
-0.988,0.99
-0.628,0.702
-0.268,0.546
0.092,0.51
0.452,0.462
0.812,0.402
1.172,0.522
1.532,0.75
1.892,1.014
2.192,1.362
2.468,1.722
2.636,2.082
2.828,2.442
2.996,2.802
3.152,3.162
3.248,3.522
3.308,3.882
3.38,4.242
3.464,4.602
3.476,4.962
3.248,5.286
2.888,5.514
2.528,5.694
2.168,5.91
1.808,6.126
1.448,6.33
1.1,6.51
0.74,6.666
0.38,6.81
0.02,6.99
-0.34,7.206
-0.7,7.398
-1.06,7.674
-1.396,7.938
-1.756,8.178
-2.116,8.418
-2.476,8.598
-2.836,8.826
-3.196,9.03
-3.556,9.282
-3.916,9.474
-4.276,9.606
-4.636,9.702
-4.996,9.774
-5.356,9.81
-5.716,9.678
-6.076,9.546
-6.436,9.33
-6.796,9.066
-7.156,8.754
-7.504,8.394
-7.768,8.034
-7.936,7.674
-8.068,7.314
-8.2,6.954
-8.296,6.594
-8.368,6.234
-8.356,5.874
-8.092,5.514
-7.768,5.178
-7.408,5.022
-7.048,4.878
-6.688,4.842
-6.328,4.938
-5.968,5.046
-5.608,5.226
-5.248,5.562
-4.888,5.826
-4.528,5.958
-4.168,6.006
-3.808,6.006
-3.448,5.934
-3.088,5.85
-2.728,5.67
-2.368,5.418
-2.008,5.178
-1.72,4.842
-1.552,4.482
